Date,Open,High,Low,Close,Adj Close,Volume
"Nov 24, 2017",7417.2,7425.2,7389.5,7409.6,7409.6,545037100
"Nov 23, 2017",7419,7422.7,7373.3,7417.2,7417.2,560163700
"Nov 22, 2017",7411.3,7460.9,7410.4,7419,7419,834065800
"Nov 21, 2017",7389.5,7422.2,7367.9,7411.3,7411.3,730690300
"Nov 20, 2017",7380.7,7397.4,7350.4,7389.5,7389.5,716131100
"Nov 17, 2017",7386.9,7406.5,7356.2,7380.7,7380.7,710733600
"Nov 16, 2017",7372.6,7393.3,7368.1,7386.9,7386.9,898881100
"Nov 15, 2017",7414.4,7415.1,7357.1,7372.6,7372.6,891890700
"Nov 14, 2017",7415.2,7436.6,7396.9,7414.4,7414.4,1141147200
"Nov 13, 2017",7433,7469.3,7403,7415.2,7415.2,745139300
"Nov 10, 2017",7484.1,7500.3,7421.7,7433,7433,673856600
"Nov 09, 2017",7529.7,7532.2,7476.9,7484.1,7484.1,834887900
"Nov 08, 2017",7513.1,7534.5,7504.8,7529.7,7529.7,784072500
"Nov 07, 2017",7562.3,7582.9,7507.8,7513.1,7513.1,731355900
"Nov 06, 2017",7560.4,7572.9,7544.2,7562.3,7562.3,615052400
"Nov 03, 2017",7555.3,7581,7541.9,7560.4,7560.4,652248400
"Nov 02, 2017",7488,7562.3,7478.9,7555.3,7555.3,1002706700
"Nov 01, 2017",7493.1,7532.4,7488,7488,7488,1172721000
"Oct 31, 2017",7487.8,7516.9,7484,7493.1,7493.1,708732700
"Oct 30, 2017",7505,7507,7478.4,7487.8,7487.8,727471900
"Oct 27, 2017",7486.5,7520.8,7485.2,7505,7505,844552500
"Oct 26, 2017",7447.2,7488.3,7440.1,7486.5,7486.5,988569400
"Oct 25, 2017",7526.5,7528.5,7437.4,7447.2,7447.2,894719200
"Oct 24, 2017",7524.5,7535.2,7508.5,7526.5,7526.5,657035000
"Oct 23, 2017",7523.2,7542,7511.8,7524.5,7524.5,548853900
"Oct 20, 2017",7523,7560,7517.1,7523.2,7523.2,732296700
"Oct 19, 2017",7542.9,7542.9,7485.4,7523,7523,806162200
"Oct 18, 2017",7516.2,7555.2,7516.2,7542.9,7542.9,626374800
"Oct 17, 2017",7527,7550.4,7506.3,7516.2,7516.2,1003303400
"Oct 16, 2017",7535.4,7557,7526.7,7527,7527,715914400
"Oct 13, 2017",7556.2,7556.2,7521.1,7535.4,7535.4,666480800
"Oct 12, 2017",7533.8,7565.1,7526.3,7556.2,7556.2,701114100
"Oct 11, 2017",7538.3,7550.2,7519.6,7533.8,7533.8,1212434400
"Oct 10, 2017",7507.9,7543.9,7504.6,7538.3,7538.3,797063500
"Oct 09, 2017",7522.9,7523.7,7493.7,7507.9,7507.9,675841500
"Oct 06, 2017",7508,7527.7,7508,7522.9,7522.9,673882500
"Oct 05, 2017",7467.6,7508,7464.4,7508,7508,756132200
"Oct 04, 2017",7468.1,7476.3,7456.6,7467.6,7467.6,916914900
"Oct 03, 2017",7438.8,7469.8,7426.7,7468.1,7468.1,697184200
"Oct 02, 2017",7372.8,7438.8,7372.7,7438.8,7438.8,864401100
