Date,Last Close
2017-11-24,2622.5
2017-11-23,2615
2017-11-22,2581.5
2017-11-21,2601
2017-11-20,2589
2017-11-17,2575
2017-11-16,2579
2017-11-15,2561
2017-11-14,2585.5
2017-11-13,2580.5
2017-11-10,2559.5
2017-11-09,2570.5
2017-11-08,2570.5
2017-11-07,2561.5
2017-11-06,2597.5
2017-11-03,2594
2017-11-02,2571.5
2017-11-01,2544.5
2017-10-31,2572
2017-10-30,2587.5
2017-10-27,2608
2017-10-26,2565
2017-10-25,2539.5
2017-10-24,2565.5
2017-10-23,2579
2017-10-20,2567.5
2017-10-19,2571
2017-10-18,2566.5
2017-10-17,2538.5
2017-10-16,2541.5
2017-10-13,2551.5
2017-10-12,2569
2017-10-11,2558.5
2017-10-10,2555.5
2017-10-09,2542
2017-10-06,2535
2017-10-05,2526
2017-10-04,2502.5
2017-10-03,2478.5
2017-10-02,2466
2017-09-29,2453
2017-09-28,2440.5
2017-09-27,2419
2017-09-26,2428.5
2017-09-25,2436.5
2017-09-22,2436.5
2017-09-15,2488
2017-09-14,2504.5
2017-09-13,2560.5
2017-09-12,2580.5
2017-09-11,2586.5
2017-09-08,2593.5
2017-09-07,2580
2017-09-06,2565
2017-09-05,2577.5
2017-09-04,2582.5
2017-09-01,2589
2017-08-31,2592
2017-08-30,2557.5
2017-08-29,2546.5
2017-08-25,2568
2017-08-24,2569.5
2017-08-23,2578.5
2017-08-22,2580
2017-08-21,2561
2017-08-18,2549.5
2017-08-17,2585.5
2017-08-16,2594
2017-08-15,2536
2017-08-14,2500
2017-08-11,2474
2017-08-10,2473.5
2017-08-09,2533.5
2017-08-08,2534
2017-08-07,2522.5
2017-08-04,2503
2017-08-03,2456.5
2017-08-02,2435.5
2017-08-01,2439.5
2017-07-31,2448.5
2017-07-28,2442
2017-07-27,2408.5
2017-07-26,2272.5
2017-07-25,2249.5
2017-07-24,2247.5
2017-07-21,2285.5
2017-07-20,2309.5
2017-07-19,2289.5
2017-07-18,2286.5
2017-07-17,2293
2017-07-14,2285
2017-07-13,2286
2017-07-12,2301
2017-07-11,2261
2017-07-10,2284
2017-07-07,2261
2017-07-06,2249.5
2017-07-05,2271.5
2017-07-04,2263.5
2017-06-29,2286
2017-06-28,2311.5
2017-06-27,2331
2017-06-26,2323.5
2017-06-23,2305
2017-06-22,2336
2017-06-21,2374.5
2017-06-20,2390
2017-06-19,2374.5
2017-06-16,2341.5
2017-06-15,2329
2017-06-14,2331.5
2017-06-13,2324
2017-06-12,2323.5
2017-06-09,2326
2017-06-08,2285
2017-06-07,2330
2017-06-06,2352.5
2017-06-05,2349
2017-06-02,2361.5
2017-06-01,2343
2017-05-31,2327
2017-05-30,2323
2017-05-26,2337
2017-05-25,2324.5
2017-05-24,2325.5
2017-05-23,2320.5
2017-05-22,2306
2017-05-19,2292
2017-05-18,2290
2017-05-17,2330
2017-05-16,2328
2017-05-15,2282
2017-05-12,2305
2017-05-11,2297
2017-05-10,2279
2017-05-09,2291
2017-05-08,2289
2017-05-05,2277.5
2017-05-04,2275
2017-05-03,2251.5
2017-05-02,2251.5
2017-04-28,2246.5
2017-04-27,2255.5
2017-04-26,2261
2017-04-25,2259
2017-04-24,2261
2017-04-21,2208
2017-04-20,2204
2017-04-19,2201.5
2017-04-18,2244.5
2017-04-13,2298
2017-04-12,2305
2017-04-11,2291
2017-04-10,2282.5
2017-04-07,2281.5
2017-04-06,2292
2017-04-05,2286.5
2017-04-04,2286.5
2017-04-03,2279
2017-03-31,2283.5
2017-03-30,2309
2017-03-29,2316
2017-03-28,2306
2017-03-27,2297.5
2017-03-24,2308
2017-03-23,2301
2017-03-22,2310
2017-03-21,2319.5
2017-03-20,2328
2017-03-17,2319
2017-03-16,2295
2017-03-15,2286
2017-03-14,2299
2017-03-13,2271
2017-03-10,2269
2017-03-09,2255.5
2017-03-08,2252.5
2017-03-07,2251.5
2017-03-06,2257
2017-03-03,2264
2017-03-02,2284
2017-03-01,2280
2017-02-28,2268
2017-02-27,2275.5
2017-02-24,2271.5
2017-02-23,2269
2017-02-22,2292
2017-02-21,2277
2017-02-20,2267
2017-02-17,2273
2017-02-16,2257
2017-02-15,2257.5
2017-02-14,2240.5
2017-02-13,2253
2017-02-10,2254.5
2017-02-09,2255.5
2017-02-08,2252
2017-02-07,2228
2017-02-06,2217
2017-02-03,2213
2017-02-02,2194.5
2017-02-01,2188
2017-01-31,2203.5
2017-01-30,2218
2017-01-27,2244
2017-01-26,2218
2017-01-25,2141
2017-01-24,2165
2017-01-23,2146
2017-01-20,2152
2017-01-19,2162
2017-01-18,2161
2017-01-17,2131.5
2017-01-16,2195.5
2017-01-13,2197.5
2017-01-12,2176.5
2017-01-11,2174
2017-01-10,2165.5
2017-01-09,2169.5
2017-01-06,2143.5
2017-01-05,2135
2017-01-04,2124
2017-01-03,2099
2016-12-30,2110
2016-12-29,2101
2016-12-28,2087.5
2016-12-23,2097
2016-12-22,2084.5
2016-12-21,2086
2016-12-20,2075
2016-12-19,2075.5
2016-12-16,2055
2016-12-15,2055.5
2016-12-14,2057
2016-12-13,2076.5
2016-12-12,2038
2016-12-09,2043
2016-12-08,2027.5
2016-12-07,2000.5
2016-12-06,1956.5
2016-12-05,1961
2016-12-02,1957.5
2016-12-01,1966.5
2016-11-30,2005
2016-11-29,2011.5
2016-11-28,2010
2016-11-25,2015
2016-11-24,1996
2016-11-23,1991.5
2016-11-22,2002.5
2016-11-21,2005
2016-11-18,2029
2016-11-17,2027
2016-11-16,2002.5
2016-11-15,1987.5
2016-11-14,1970
2016-11-11,1982.5
2016-11-10,1992.5
2016-11-09,2067
2016-11-08,2091
2016-11-07,2072
2016-11-04,2058.5
2016-11-03,2070.5
2016-11-02,2132.5
2016-11-01,2159.5
2016-10-31,2179.5
2016-10-28,2187.5
2016-10-27,2189
2016-10-26,2190
2016-10-25,2203.5
2016-10-24,2178
2016-10-21,2178.5
2016-10-20,2190
2016-10-19,2180.5
2016-10-18,2173
2016-10-17,2174
2016-10-14,2190
2016-10-13,2198.5
2016-10-12,2200.5
2016-10-11,2228.5
2016-10-10,2238
2016-10-07,2231.5
2016-10-06,2220
2016-10-05,2220.5
2016-10-04,2268
2016-10-03,2245
2016-09-30,2210.5
2016-09-29,2223.5
2016-09-28,2222
2016-09-27,2215
2016-09-26,2211
2016-09-23,2225
2016-09-22,2209
2016-09-21,2183.5
2016-09-20,2181
2016-09-19,2158.5
2016-09-16,2121
2016-09-15,2118.5
2016-09-14,2074
2016-09-13,2076
2016-09-12,2065.5
2016-09-09,2080
2016-09-08,2102.5
2016-09-07,2116.5
2016-09-06,2107
2016-09-05,2126.5
2016-09-02,2146.5
2016-09-01,2083.5
2016-08-31,2108.5
2016-08-30,2127.5
2016-08-26,2151.5
2016-08-25,2149.5
2016-08-24,2139
2016-08-23,2154.5
2016-08-22,2149.5
2016-08-19,2178.5
2016-08-18,2168.5
2016-08-17,2178
2016-08-16,2171.5
2016-08-15,2187.5
2016-08-12,2181
2016-08-11,2185
2016-08-10,2191.5
2016-08-09,2182
2016-08-08,2170.5
2016-08-05,2180
2016-08-04,2170.5
2016-08-03,2128
2016-08-02,2145.5
2016-08-01,2155
2016-07-29,2161
2016-07-27,2138
2016-07-26,2160
2016-07-25,2133
2016-07-22,2138.5
2016-07-21,2107.5
2016-07-20,2110
2016-07-19,2096.5
2016-07-18,2106
2016-07-15,2098
2016-07-14,2096.5
2016-07-13,2123.5
2016-07-12,2134
2016-07-11,2161.5
2016-07-08,2143.5
2016-07-07,2161
2016-07-06,2144
2016-07-05,2139.5
2016-07-04,2101
2016-07-01,2107
2016-06-30,2086.5
2016-06-29,1995.5
2016-06-28,1935
2016-06-27,1914
2016-06-24,1878
2016-06-23,1833
2016-06-22,1842.5
2016-06-21,1823
2016-06-20,1812
2016-06-17,1770
2016-06-16,1783.5
2016-06-15,1769
2016-06-14,1748
2016-06-13,1776
2016-06-10,1811
2016-06-09,1849
2016-06-08,1872.5
2016-06-07,1878
2016-06-06,1876.5
2016-06-03,1861.5
2016-06-02,1851.5
2016-06-01,1864
2016-05-31,1870.5
2016-05-27,1883
2016-05-26,1867
2016-05-25,1863
2016-05-24,1858
2016-05-23,1835.5
2016-05-20,1838
2016-05-19,1818
2016-05-18,1843.5
2016-05-17,1856
2016-05-16,1889
2016-05-13,1894
2016-05-12,1879
2016-05-11,1885.5
2016-05-10,1889.5
2016-05-09,1894
2016-05-06,1872
2016-05-05,1873
2016-05-04,1855
2016-05-03,1860.5
2016-04-29,1846
2016-04-28,1876.5
2016-04-27,1873
2016-04-26,1880.5
2016-04-25,1891.5
2016-04-22,1892.5
2016-04-21,1918.5
2016-04-20,1948
2016-04-19,1946.5
2016-04-18,1923.5
2016-04-15,1933
2016-04-14,1929
2016-04-13,1921.5
2016-04-12,1904
2016-04-11,1897.5
2016-04-08,1912
2016-04-07,1910
2016-04-06,1905.5
2016-04-05,1880
2016-04-04,1892.5
2016-04-01,1886.5
2016-03-31,1881.5
2016-03-30,1896
2016-03-29,1876
2016-03-24,1869
2016-03-23,1890
2016-03-22,1876
2016-03-21,1867.5
2016-03-18,1868.5
2016-03-17,1880
2016-03-16,1905
2016-03-14,1889
2016-03-11,1873
2016-03-10,1850.5
2016-03-09,1882.5
2016-03-08,1866.5
2016-03-07,1859
2016-03-04,1874
2016-03-03,1853
2016-03-02,1862.5
2016-03-01,1881
2016-02-29,1859
2016-02-26,1865
2016-02-25,1877.5
2016-02-24,1868.5
2016-02-23,1864.5
2016-02-22,1859
2016-02-19,1828.5
2016-02-18,1826
2016-02-17,1832
2016-02-16,1811.5
2016-02-15,1809
2016-02-12,1758
2016-02-11,1745
2016-02-10,1782
2016-02-09,1783
2016-02-08,1782
2016-02-05,1796.5
2016-02-04,1828
2016-02-03,1869.5
2016-02-02,1906
2016-02-01,1910.5
2016-01-29,1884.5
2016-01-28,1841.5
2016-01-27,1867
2016-01-26,1872
2016-01-25,1841.5
2016-01-22,1857.5
2016-01-21,1827
2016-01-20,1777.5
2016-01-19,1828
2016-01-18,1779.5
2016-01-15,1791
2016-01-14,1810
2016-01-13,1851.5
2016-01-12,1837
2016-01-11,1805.5
2016-01-08,1810
2016-01-07,1800.5
2016-01-06,1841
2016-01-05,1846
2016-01-04,1817
2015-12-31,1856.5
2015-12-30,1880
2015-12-29,1880
2015-12-24,1856.5
2015-12-23,1853
2015-12-22,1805
2015-12-21,1805
2015-12-18,1807.5
2015-12-17,1833.5
2015-12-16,1831.5
2015-12-15,1820.5
2015-12-14,1796
2015-12-11,1806.5
2015-12-10,1832
2015-12-09,1852
2015-12-08,1873
2015-12-07,1900.5
2015-12-04,1891
2015-12-03,1900
2015-12-02,1944.5
2015-12-01,1912.5
2015-11-30,1910
2015-11-27,1924.5
2015-11-26,1925.5
2015-11-25,1925.5
2015-11-24,1894
2015-11-23,1913
2015-11-20,1928
2015-11-19,1902.5
2015-11-18,1885.5
2015-11-17,1888
2015-11-16,1847
2015-11-13,1848.5
2015-11-12,1883
2015-11-11,1899.5
2015-11-10,1872
2015-11-09,1865.5
2015-11-06,1882.5
2015-11-05,1897
2015-11-04,1894
2015-11-03,1876
2015-11-02,1869
2015-10-30,1878.5
2015-10-29,1885.5
2015-10-28,1869.5
2015-10-27,1863
2015-10-26,1878.5
2015-10-23,1858.5
2015-10-22,1860.5
2015-10-21,1843
2015-10-20,1851
2015-10-19,1847
2015-10-16,1836.5
2015-10-15,1834
2015-10-14,1810
2015-10-13,1843
2015-10-12,1827.5
2015-10-09,1831
2015-10-08,1826.5
2015-10-07,1793.5
2015-10-06,1819
2015-10-05,1810.5
2015-10-02,1782.5
2015-10-01,1765.5
2015-09-30,1770.5
2015-09-29,1718
2015-09-28,1735
2015-09-25,1750
2015-09-24,1713.5
2015-09-23,1733
2015-09-22,1716.5
2015-09-21,1768.5
2015-09-18,1764.5
2015-09-17,1782.5
2015-09-16,1777.5
2015-09-15,1745
2015-09-14,1724
2015-09-11,1716
2015-09-10,1728.5
2015-09-09,1739.5
2015-09-08,1711
2015-09-07,1699
2015-09-04,1697.5
2015-09-03,1713.5
2015-09-02,1703.5
2015-09-01,1691
2015-08-28,1730
2015-08-27,1695
2015-08-26,1658.5
2015-08-25,1673
2015-08-24,1640
2015-08-21,1684.5
2015-08-20,1740
2015-08-19,1745
2015-08-18,1767
2015-08-17,1772
2015-08-14,1775.5
2015-08-13,1762
2015-08-12,1775
2015-08-11,1808.5
2015-08-10,1829.5
2015-08-07,1827
2015-08-06,1838
2015-08-05,1821
2015-08-04,1790
2015-08-03,1797
2015-07-31,1789.5
2015-07-30,1811
2015-07-29,1839.5
2015-07-28,1819
2015-07-27,1819.5
2015-07-24,1860
2015-07-23,1907
2015-07-22,1917
2015-07-21,1928
2015-07-20,1931.5
2015-07-17,1938.5
2015-07-16,
2015-07-15,
2015-07-14,
2015-07-13,
2015-07-10,
2015-07-09,
2015-07-08,
2015-07-07,
2015-07-06,
2015-07-03,
2015-07-02,
2015-07-01,
2015-06-30,
2015-06-29,
2015-06-26,
2015-06-25,1920
2015-06-24,1926
2015-06-23,1932
2015-06-22,1907
2015-06-19,1879
2015-06-18,1898
2015-06-17,1881
2015-06-16,1869.5
2015-06-15,1874.5
2015-06-12,1896.5
2015-06-11,1908.5
2015-06-10,1892
2015-06-09,1887.5
2015-06-08,1880
2015-06-05,1760.5
2015-06-04,1782
2015-06-03,1795.5
2015-06-02,1782.5
2015-06-01,1818
