Date,Last Close
2017-11-24,1297.5
2017-11-23,1305.5
2017-11-22,1302.5
2017-11-21,1303
2017-11-20,1313.5
2017-11-17,1308
2017-11-16,1318
2017-11-15,1307.5
2017-11-14,1311
2017-11-13,1319
2017-11-10,1318
2017-11-09,1346.5
2017-11-08,1362.5
2017-11-07,1343
2017-11-06,1360.5
2017-11-03,1361
2017-11-02,1358.5
2017-11-01,1351.5
2017-10-31,1357.5
2017-10-30,1372.5
2017-10-26,1380
2017-10-24,1512.5
2017-10-23,1519.5
2017-10-20,1523.5
2017-10-19,1536
2017-10-18,1533.5
2017-10-17,1516
2017-10-13,1516
2017-10-12,1527.5
2017-10-11,1517
2017-10-10,1515.5
2017-10-09,1523
2017-10-05,1523.5
2017-10-04,1511
2017-10-02,1520.5
2017-09-29,1488.5
2017-09-27,1486
2017-09-26,1482
2017-09-22,1474
2017-09-15,1454
2017-09-14,1480.5
2017-09-13,1491
2017-09-11,1498
2017-09-08,1494
2017-09-07,1510.5
2017-09-06,1506
2017-09-05,1513.5
2017-09-04,1515.5
2017-09-01,1532.5
2017-08-31,1533.5
2017-08-30,1517
2017-08-29,1498.5
2017-08-25,1519.5
2017-08-24,1523
2017-08-23,1517
2017-08-22,1504
2017-08-21,1479.5
2017-08-18,1490
2017-08-17,1506
2017-08-16,1504
2017-08-15,1494.5
2017-08-14,1480.5
2017-08-11,1475
2017-08-10,1483.5
2017-08-09,1508.5
2017-08-08,1534
2017-08-07,1526.5
2017-08-04,1534
2017-08-03,1528
2017-08-02,1517
2017-08-01,1516.5
2017-07-31,1514.5
2017-07-28,1518.5
2017-07-27,1531
2017-07-26,1545.5
2017-07-25,1586
2017-07-24,1595.5
2017-07-21,1615
2017-07-20,1625
2017-07-19,1610.5
2017-07-18,1600
2017-07-17,1601
2017-07-14,1608.5
2017-07-13,1618
2017-07-12,1628
2017-07-11,1603
2017-07-10,1616
2017-07-07,1614.5
2017-07-06,1608
2017-07-05,1625.5
2017-07-04,1628.5
2017-06-29,1646.5
2017-06-28,1663.5
2017-06-27,1697.5
2017-06-26,1711
2017-06-23,1708.5
2017-06-22,1722
2017-06-21,1683
2017-06-20,1693
2017-06-19,1695.5
2017-06-16,1685
2017-06-15,1684
2017-06-14,1684.5
2017-06-13,1684
2017-06-12,1695.5
2017-06-09,1698
2017-06-08,1681
2017-06-07,1688.5
2017-06-06,1701
2017-06-05,1691
2017-06-02,1706
2017-06-01,1703.5
2017-05-31,1703.5
2017-05-30,1673
2017-05-26,1643.5
2017-05-25,1618
2017-05-24,1633.5
2017-05-23,1629.5
2017-05-22,1642
2017-05-19,1647.5
2017-05-18,1638
2017-05-17,1660
2017-05-16,1667.5
2017-05-15,1658.5
2017-05-12,1665
2017-05-11,1627.5
2017-05-10,1625
2017-05-09,1600
2017-05-08,1590.5
2017-05-05,1588
2017-05-04,1588.5
2017-05-03,1569.5
2017-05-02,1572
2017-04-28,1550
2017-04-27,1558.5
2017-04-26,1566
2017-04-25,1599
2017-04-24,1585
2017-04-21,1565.5
2017-04-20,1562.5
2017-04-19,1574
2017-04-18,1586.5
2017-04-13,1647
2017-04-12,1645.5
2017-04-11,1645
2017-04-10,1638
2017-04-07,1637
2017-04-06,1633.5
2017-04-05,1663
2017-04-04,1661
2017-04-03,1657
2017-03-31,1659.5
2017-03-30,1679
2017-03-29,1678.5
2017-03-28,1677
2017-03-27,1677
2017-03-24,1670.5
2017-03-23,1675
2017-03-22,1670.5
2017-03-21,1680.5
2017-03-20,1688.5
2017-03-17,1687.5
2017-03-16,1690.5
2017-03-15,1682.5
2017-03-14,1688.5
2017-03-13,1677.5
2017-03-10,1672.5
2017-03-09,1671.5
2017-03-08,1671.5
2017-03-07,1675
2017-03-06,1684.5
2017-03-03,1688
2017-03-02,1675.5
2017-03-01,1666.5
2017-02-28,1648
2017-02-27,1644.5
2017-02-24,1639.5
2017-02-23,1632.5
2017-02-22,1653.5
2017-02-21,1645.5
2017-02-20,1636.5
2017-02-17,1639.5
2017-02-16,1617
2017-02-15,1594.5
2017-02-14,1577
2017-02-13,1580
2017-02-10,1591
2017-02-09,1577
2017-02-08,1562.5
2017-02-07,1562.5
2017-02-06,1556
2017-02-03,1547.5
2017-02-02,1537.5
2017-02-01,1535
2017-01-31,1528
2017-01-30,1533.5
2017-01-27,1520
2017-01-26,1529
