Date,Last Close
2017-11-24,66.09
2017-11-23,65.72
2017-11-22,65.9
2017-11-21,65.72
2017-11-20,66.12
2017-11-17,65.99
2017-11-16,66.06
2017-11-15,66.25
2017-11-14,66.65
2017-11-13,66.43
2017-11-10,66.48
2017-11-09,66.68
2017-11-08,66.82
2017-11-07,67.3
2017-11-06,67.8
2017-11-03,67.39
2017-11-02,67.94
2017-11-01,68.63
2017-10-31,68.29
2017-10-30,68.07
2017-10-27,68.91
2017-10-26,68.93
2017-10-25,67.94
2017-10-24,67.4
2017-10-23,67
2017-10-20,67
2017-10-19,66.99
2017-10-18,66.83
2017-10-17,66.33
2017-10-16,65.59
2017-10-13,65.9
2017-10-12,66.3
2017-10-11,66.5
2017-10-10,67.1
2017-10-09,66.55
2017-10-06,66.6
2017-10-05,67.3
2017-10-04,67.6
2017-10-03,67.6
2017-10-02,67.5
2017-09-29,67.73
2017-09-28,67.22
2017-09-27,67.2
2017-09-26,64.99
2017-09-25,65.87
2017-09-22,66.91
2017-09-15,65.32
2017-09-14,66.4
2017-09-13,64.98
2017-09-12,64.84
2017-09-11,63.63
2017-09-08,63.77
2017-09-07,63.08
2017-09-06,63.05
2017-09-05,63.1
2017-09-04,63.4
2017-09-01,63.69
2017-08-31,63.82
2017-08-30,63.6
2017-08-29,63.85
2017-08-25,64.91
2017-08-24,64.73
2017-08-23,65.4
2017-08-22,65.04
2017-08-21,64.57
2017-08-18,63.91
2017-08-17,64.4
2017-08-16,65.35
2017-08-15,65.59
2017-08-14,64.86
2017-08-11,64.64
2017-08-10,64.83
2017-08-09,66.91
2017-08-08,67.26
2017-08-07,66.5
2017-08-04,66.81
2017-08-03,66.51
2017-08-02,65.56
2017-08-01,65.57
2017-07-31,65.58
2017-07-28,66.5
2017-07-27,67.5
2017-07-26,69.08
2017-07-25,69
2017-07-24,67.89
2017-07-21,68.11
2017-07-20,68.69
2017-07-19,68.08
2017-07-18,66.9
2017-07-17,67.13
2017-07-14,66.94
2017-07-13,67.4
2017-07-12,66.04
2017-07-11,65.55
2017-07-10,66.56
2017-07-07,66.53
2017-07-06,66.68
2017-07-05,65.69
2017-07-04,66.32
2017-06-29,67.15
2017-06-28,66.6
2017-06-27,66.72
2017-06-26,66.5
2017-06-23,66.68
2017-06-22,67
2017-06-21,67.17
2017-06-20,67.01
2017-06-19,68.7
2017-06-16,68.54
2017-06-15,67.99
2017-06-14,67.9
2017-06-13,68.59
2017-06-12,69.1
2017-06-09,70.01
2017-06-08,70.72
2017-06-07,70.08
2017-06-06,68.94
2017-06-05,69.39
2017-06-02,69.35
2017-06-01,70.16
2017-05-31,70.59
2017-05-30,71.12
2017-05-26,71.74
2017-05-25,73.1
2017-05-24,72.57
2017-05-23,72.16
2017-05-22,71.79
2017-05-19,71.78
2017-05-18,71.28
2017-05-17,71.52
2017-05-16,70.15
2017-05-15,69.39
2017-05-12,68.7
2017-05-11,69.66
2017-05-10,69.88
2017-05-09,69.02
2017-05-08,69.45
2017-05-05,70
2017-05-04,70
2017-05-03,69.06
2017-05-02,69.2
2017-04-28,69.2
2017-04-27,68.97
2017-04-26,67.41
2017-04-25,66.95
2017-04-24,66.24
2017-04-21,64.37
2017-04-20,64.06
2017-04-19,63.66
2017-04-18,62.2
2017-04-13,62.71
2017-04-12,62.54
2017-04-11,62.96
2017-04-10,63.05
2017-04-07,63.02
2017-04-06,63.59
2017-04-05,65.49
2017-04-04,65.51
2017-04-03,66.03
2017-03-31,66.32
2017-03-30,66.65
2017-03-29,66.54
2017-03-28,66.79
2017-03-27,66.95
2017-03-24,68.05
2017-03-23,68.43
2017-03-22,67.63
2017-03-21,68.74
2017-03-20,69.3
2017-03-17,69.34
2017-03-16,69.58
2017-03-15,68.23
2017-03-14,67.85
2017-03-13,68.54
2017-03-10,68.76
2017-03-09,68.55
2017-03-08,68.31
2017-03-07,67.5
2017-03-06,67.51
2017-03-03,68.42
2017-03-02,68.91
2017-03-01,68.84
2017-02-28,68.67
2017-02-27,69.2
2017-02-24,69.28
2017-02-23,69.55
2017-02-22,69.7
2017-02-21,66.77
2017-02-20,67.35
2017-02-17,66.86
2017-02-16,67.25
2017-02-15,67.47
2017-02-14,66.49
2017-02-13,65.85
2017-02-10,65.64
2017-02-09,66.14
2017-02-08,65.58
2017-02-07,66.13
2017-02-06,66.06
2017-02-03,65.85
2017-02-02,64.89
2017-02-01,65.42
2017-01-31,64.93
2017-01-30,64.91
2017-01-27,65.87
2017-01-26,66.17
2017-01-25,65.54
2017-01-24,64.2
2017-01-23,64.4
2017-01-20,65.07
2017-01-19,64.74
2017-01-18,65.19
2017-01-17,65.45
2017-01-16,64.69
2017-01-13,66.04
2017-01-12,66.03
2017-01-11,66.34
2017-01-10,66.58
2017-01-09,65.22
2017-01-06,65.9
2017-01-05,64.65
2017-01-04,64.77
2017-01-03,64.62
2016-12-30,62.51
2016-12-29,62.78
2016-12-28,63.55
2016-12-23,63.8
2016-12-22,64
2016-12-21,64.28
2016-12-20,63.94
2016-12-19,62.55
2016-12-16,63.78
2016-12-15,64.37
2016-12-14,62.76
2016-12-13,62.55
2016-12-12,61.38
2016-12-09,61.74
2016-12-08,62.72
2016-12-07,62.27
2016-12-06,59.48
2016-12-05,58.25
2016-12-02,57.55
2016-12-01,57.59
2016-11-30,57.87
2016-11-29,57.71
2016-11-28,57.86
2016-11-25,58.77
2016-11-24,59.68
2016-11-22,59.75
2016-11-21,59.11
2016-11-18,59.44
2016-11-17,59.98
2016-11-16,60.41
2016-11-15,61.4
2016-11-14,60.57
2016-11-11,59.5
2016-11-10,59.63
2016-11-09,57.51
2016-11-08,56.24
2016-11-07,56.07
2016-11-04,55.46
2016-11-03,56.03
2016-11-02,55.15
2016-11-01,56.24
2016-10-31,57.26
2016-10-28,57.74
2016-10-27,57.5
2016-10-26,55.88
2016-10-25,55.35
2016-10-24,54.97
2016-10-21,55.14
2016-10-20,55.56
2016-10-19,54.87
2016-10-18,53.94
2016-10-17,52.82
2016-10-14,52.43
2016-10-13,52.53
2016-10-12,53.03
2016-10-11,53.64
2016-10-10,52.38
2016-10-07,52.5
2016-10-06,54.99
2016-10-05,54.7
2016-10-04,54.77
2016-10-03,54.71
2016-09-30,54.55
2016-09-29,55.49
2016-09-28,55.53
2016-09-27,54.64
2016-09-26,54.25
2016-09-23,55.98
2016-09-22,57.15
2016-09-21,57.1
2016-09-20,56.44
2016-09-19,57
2016-09-16,56.51
2016-09-15,56.73
2016-09-14,56.82
2016-09-13,56.39
2016-09-12,56.97
2016-09-09,59.31
2016-09-08,58.86
2016-09-07,57.62
2016-09-06,58.08
2016-09-05,59.65
2016-09-02,60.95
2016-09-01,60.64
2016-08-31,59.35
2016-08-30,58.86
2016-08-26,58.01
2016-08-25,58.37
2016-08-24,59.27
2016-08-23,57.59
2016-08-22,55.54
2016-08-19,55.24
2016-08-18,53.87
2016-08-17,53.48
2016-08-16,53.95
2016-08-15,54.5
2016-08-12,55.4
2016-08-11,55.22
2016-08-10,55.49
2016-08-09,55.04
2016-08-08,54.55
2016-08-05,53.15
2016-08-04,51.95
2016-08-03,52.99
2016-08-02,52.73
2016-08-01,53.25
2016-07-29,53.15
2016-07-27,55.75
2016-07-26,54.13
2016-07-25,53.8
2016-07-22,54.49
2016-07-21,56.2
2016-07-20,56.77
2016-07-19,55.43
2016-07-18,55.59
2016-07-15,55.99
2016-07-14,56.2
2016-07-13,55.32
2016-07-12,56.25
2016-07-11,54.85
2016-07-08,52.6
2016-07-07,49.7
2016-07-06,47.55
2016-07-05,51.02
2016-07-04,53.13
2016-07-01,54.35
2016-06-30,54.06
2016-06-29,55.52
2016-06-28,54.95
2016-06-27,51.15
2016-06-24,57
2016-06-23,72.15
2016-06-22,70.55
2016-06-21,70.33
2016-06-20,70
2016-06-17,65.05
2016-06-16,61.36
2016-06-15,63
2016-06-14,62.18
2016-06-13,64.23
2016-06-10,67.05
2016-06-09,69.11
2016-06-08,69.86
2016-06-07,70.25
2016-06-06,69.64
2016-06-03,70
2016-06-02,70.53
2016-06-01,71.34
2016-05-31,72.02
2016-05-27,72.45
2016-05-26,72.81
2016-05-25,73.74
2016-05-24,72.42
2016-05-23,70.22
2016-05-20,70.34
2016-05-19,69.08
2016-05-18,69.5
2016-05-17,67.28
2016-05-16,66.67
2016-05-13,66.4
2016-05-12,64.91
2016-05-11,65.69
2016-05-10,65.42
2016-05-09,64.37
2016-05-06,65.01
2016-05-05,64.08
2016-05-04,64.79
2016-05-03,65.59
2016-04-29,67.07
2016-04-28,68.11
2016-04-27,69.25
2016-04-26,70
2016-04-25,67.59
2016-04-22,68
2016-04-21,68.7
2016-04-20,67.76
2016-04-19,67.85
2016-04-18,68.45
2016-04-15,68.2
2016-04-14,68.8
2016-04-13,69
2016-04-12,66.64
2016-04-11,65.52
2016-04-08,65.9
2016-04-07,64.82
2016-04-06,68.08
2016-04-05,66.94
2016-04-04,68.32
2016-04-01,67.95
2016-03-31,68.02
2016-03-30,67.8
2016-03-29,68
2016-03-24,68.05
2016-03-23,68.9
2016-03-22,69.36
2016-03-21,69.79
2016-03-18,69.9
2016-03-17,69.3
2016-03-16,68.79
2016-03-14,70.31
2016-03-11,70.15
2016-03-10,68.95
2016-03-09,69.77
2016-03-08,70.63
2016-03-07,72.75
2016-03-04,73.24
2016-03-03,72.58
2016-03-02,73.27
2016-03-01,73.07
2016-02-29,72.4
2016-02-26,72.13
2016-02-25,70.64
2016-02-24,62.2
2016-02-23,62.93
2016-02-22,63.12
2016-02-19,61.8
2016-02-18,62.44
2016-02-17,62.79
2016-02-16,60.55
2016-02-15,59.84
2016-02-12,58.48
2016-02-11,56
2016-02-10,58.4
2016-02-09,58.13
2016-02-08,59.36
2016-02-05,61.8
2016-02-04,62.77
2016-02-03,60.69
2016-02-02,61.94
2016-02-01,64.19
2016-01-29,65.46
2016-01-28,64.07
2016-01-27,64.92
2016-01-26,64.73
2016-01-25,63.14
2016-01-22,66.86
2016-01-21,64.7
2016-01-20,64.05
2016-01-19,65.78
2016-01-18,63.96
2016-01-15,64.71
2016-01-14,66.53
2016-01-13,67.8
2016-01-12,69.3
2016-01-11,68.93
