Date,Last Close
2017-11-24,1883
2017-11-23,1882.5
2017-11-22,1877
2017-11-21,1915
2017-11-20,1882
2017-11-17,1889.5
2017-11-16,1880
2017-11-15,1860
2017-11-14,1852
2017-11-13,1858
2017-11-10,1845.5
2017-11-09,1838.5
2017-11-08,1836.5
2017-11-07,1846
2017-11-06,1856
2017-11-03,1868
2017-11-02,1867
2017-11-01,1849.5
2017-10-31,1852
2017-10-30,1847.5
2017-10-27,1862.5
2017-10-26,1870.5
2017-10-25,1844.5
2017-10-24,1861.5
2017-10-23,1885
2017-10-20,1866.5
2017-10-19,1836
2017-10-18,1840.5
2017-10-17,1821
2017-10-16,1817
2017-10-13,1828
2017-10-12,1829.5
2017-10-11,1824
2017-10-10,1826
2017-10-09,1824
2017-10-06,1819
2017-10-05,1795
2017-10-04,1780
2017-10-03,1788.5
2017-10-02,1808
2017-09-29,1786.5
2017-09-28,1779.5
2017-09-27,1763.5
2017-09-26,1716.5
2017-09-25,1741.5
2017-09-22,1774
2017-09-15,1741
2017-09-14,1764
2017-09-13,1790
2017-09-12,1805
2017-09-11,1790
2017-09-08,1762
2017-09-07,1757.5
2017-09-06,1761
2017-09-05,1775.5
2017-09-04,1788.5
2017-09-01,1823
2017-08-31,1815.5
2017-08-30,1789.5
2017-08-29,1787.5
2017-08-25,1821.5
2017-08-24,1821
2017-08-23,1811
2017-08-22,1817.5
2017-08-21,1801.5
2017-08-18,1811
2017-08-17,1813.5
2017-08-16,1828
2017-08-15,1811.5
2017-08-14,1807.5
2017-08-11,1782.5
2017-08-10,1826
2017-08-09,1841.5
2017-08-08,1885.5
2017-08-07,1872.5
2017-08-04,1866
2017-08-03,1855.5
2017-08-02,1848
2017-08-01,1859.5
2017-07-31,1848
2017-07-28,1809.5
2017-07-27,1834
2017-07-26,1828.5
2017-07-25,1810
2017-07-24,1777.5
2017-07-21,1800
2017-07-20,1787.5
2017-07-19,1773.5
2017-07-18,1752
2017-07-17,1761.5
2017-07-14,1762.5
2017-07-13,1789
2017-07-12,1775
2017-07-11,1750
2017-07-10,1798.5
2017-07-07,1780
2017-07-06,1779
