Date,Last Close
2017-11-24,6470
2017-11-23,6420
2017-11-22,6492
2017-11-21,6401
2017-11-20,6380
2017-11-17,6393
2017-11-16,6385
2017-11-15,6355
2017-11-14,6417
2017-11-13,6449
2017-11-10,6544
2017-11-09,6538
2017-11-08,6530
2017-11-07,6526
2017-11-06,6546
2017-11-03,6583
2017-11-02,6582
2017-11-01,6576
2017-10-31,6735
2017-10-30,6786
2017-10-27,6845
2017-10-26,6640
2017-10-25,6580
2017-10-24,6600
2017-10-23,6600
2017-10-20,6610
2017-10-19,6790
2017-10-18,6857
2017-10-17,7035
2017-10-16,7020
2017-10-13,7187
2017-10-12,7166
2017-10-11,7038
2017-10-10,7090
2017-10-09,6938
2017-10-06,6836
2017-10-05,6807
2017-10-04,6782
2017-10-03,6820
2017-10-02,6821
2017-09-29,6813
2017-09-28,6753
2017-09-27,6805
2017-09-26,6790
2017-09-25,6827
2017-09-22,6807
2017-09-15,6775
2017-09-14,6937
2017-09-13,7026
2017-09-12,7033
2017-09-11,7100
2017-09-08,7109
2017-09-07,7159
2017-09-06,7139
2017-09-05,7092
2017-09-04,7290
2017-09-01,7375
2017-08-31,7332
2017-08-30,7299
2017-08-29,7297
2017-08-25,7381
2017-08-24,7420
2017-08-23,7353
2017-08-22,7332
2017-08-21,7257
2017-08-18,7257
2017-08-17,7354
2017-08-16,7406
2017-08-15,7395
2017-08-14,7421
2017-08-11,7352
2017-08-10,7311
2017-08-09,7399
2017-08-08,7420
2017-08-07,7486
2017-08-04,7507
2017-08-03,7456
2017-08-02,7387
2017-08-01,7386
2017-07-31,7369
2017-07-28,7351
2017-07-27,7456
2017-07-26,7544
2017-07-25,7533
2017-07-24,7623
2017-07-21,7881
2017-07-20,7953
2017-07-19,7937
2017-07-18,7812
2017-07-17,7765
2017-07-14,7744
2017-07-13,7724
2017-07-12,7748
2017-07-11,7600
2017-07-10,7671
2017-07-07,7668
2017-07-06,7583
2017-07-05,7700
2017-07-04,7700
2017-06-29,7687
2017-06-28,7837
2017-06-27,7884
2017-06-26,7960
2017-06-23,7856
2017-06-22,7849
2017-06-21,7878
2017-06-20,7996
2017-06-19,7982
2017-06-16,7925
2017-06-15,7860
2017-06-14,7865
2017-06-13,7879
2017-06-12,7917
2017-06-09,7954
2017-06-08,7852
2017-06-07,7976
2017-06-06,8108
2017-06-05,7987
2017-06-02,8017
2017-06-01,7961
2017-05-31,7938
2017-05-30,7926
2017-05-26,7869
2017-05-25,7797
2017-05-24,7741
2017-05-23,7630
2017-05-22,7635
2017-05-19,7620
2017-05-18,7572
2017-05-17,7611
2017-05-16,7516
2017-05-15,7363
2017-05-12,7356
2017-05-11,7301
2017-05-10,7272
2017-05-09,7280
2017-05-08,7176
2017-05-05,7170
2017-05-04,7164
2017-05-03,7164
2017-05-02,7126
2017-04-28,7111
2017-04-27,7194
2017-04-26,7287
2017-04-25,7305
2017-04-24,7305
2017-04-21,7215
2017-04-20,7275
2017-04-19,7246
2017-04-18,7308
2017-04-13,7444
2017-04-12,7492
2017-04-11,7391
2017-04-10,7360
2017-04-07,7387
2017-04-06,7240
2017-04-05,7255
2017-04-04,7246
2017-04-03,7256
2017-03-31,7286
2017-03-30,7339
2017-03-29,7311
2017-03-28,7320
2017-03-27,7351
2017-03-24,7345
2017-03-23,7334
2017-03-22,7430
2017-03-21,7439
2017-03-20,7484
2017-03-17,7392
2017-03-16,7370
2017-03-15,7309
2017-03-14,7333
2017-03-13,7276
2017-03-10,7321
2017-03-09,7295
2017-03-08,7260
2017-03-07,7303
2017-03-06,7304
2017-03-03,7341
2017-03-02,7348
2017-03-01,7351
2017-02-28,7311
2017-02-27,7296
2017-02-24,7311
2017-02-23,7253
2017-02-22,7229
2017-02-21,7075
2017-02-20,7041
2017-02-17,7100
2017-02-16,6901
2017-02-15,6894
2017-02-14,6926
2017-02-13,7075
2017-02-10,7025
2017-02-09,7239
2017-02-08,7287
2017-02-07,7109
2017-02-06,7025
2017-02-03,7129
2017-02-02,7109
2017-02-01,6830
2017-01-31,6804
2017-01-30,6821
2017-01-27,6870
2017-01-26,6842
2017-01-25,6812
2017-01-24,6795
2017-01-23,6864
2017-01-20,6825
2017-01-19,6876
2017-01-18,6840
2017-01-17,6772
2017-01-16,6955
2017-01-13,6845
2017-01-12,6848
2017-01-11,6755
2017-01-10,6783
2017-01-09,6803
2017-01-06,6687
2017-01-05,6711
2017-01-04,6750
2017-01-03,6784
2016-12-30,6886
2016-12-29,6860
2016-12-28,6856
2016-12-23,6811
2016-12-22,6815
2016-12-21,6744
2016-12-20,6766
2016-12-19,6794
2016-12-16,6614
2016-12-15,6675
2016-12-14,6674
2016-12-13,6697
