Date,Last Close
2017-11-24,2337.5
2017-11-23,2339
2017-11-22,2331.5
2017-11-21,2330
2017-11-20,2331
2017-11-17,2337.5
2017-11-16,2331
2017-11-15,2401.5
2017-11-14,2434.5
2017-11-13,2435
2017-11-10,2418
2017-11-09,2455.5
2017-11-08,2459.5
2017-11-07,2449.5
2017-11-06,2458
2017-11-03,2435
2017-11-02,2434
2017-11-01,2359.5
2017-10-31,2365.5
2017-10-30,2346
2017-10-27,2327
2017-10-26,2308
2017-10-25,2312
2017-10-24,2343
2017-10-23,2313
2017-10-20,2313.5
2017-10-19,2311.5
2017-10-18,2300
2017-10-17,2289
2017-10-16,2290.5
2017-10-13,2285.5
2017-10-12,2300.5
2017-10-11,2305
2017-10-10,2295.5
2017-10-09,2296.5
2017-10-06,2297.5
2017-10-05,2309
2017-10-04,2283.5
2017-10-03,2297
2017-10-02,2262.5
2017-09-29,2248.5
2017-09-28,2242
2017-09-27,2225
2017-09-26,2228
2017-09-25,2209.5
2017-09-22,2190
2017-09-15,2102.5
2017-09-14,2143.5
2017-09-13,2152
2017-09-12,2135.5
2017-09-11,2144.5
2017-09-08,2138
2017-09-07,2157.5
2017-09-06,2133.5
2017-09-05,2130.5
2017-09-04,2123
2017-09-01,2122
2017-08-31,2127
2017-08-30,2126
2017-08-29,2127.5
2017-08-25,2142.5
2017-08-24,2134.5
2017-08-23,2139.5
2017-08-22,2121.5
2017-08-21,2109.5
2017-08-18,2114.5
2017-08-17,2125
2017-08-16,2127
2017-08-15,2126
2017-08-14,2135
2017-08-11,2135
2017-08-10,2163.5
2017-08-09,2213
2017-08-08,2213.5
2017-08-07,2197.5
2017-08-04,2183
2017-08-03,2175.5
2017-08-02,2158.5
2017-08-01,2134.5
2017-07-31,2133
2017-07-28,2115.5
2017-07-27,2097
2017-07-26,2086
2017-07-25,2079.5
2017-07-24,2058
2017-07-21,2079
2017-07-20,2093.5
2017-07-19,2061.5
2017-07-18,2060
2017-07-17,2057.5
2017-07-14,2050
2017-07-13,2063.5
2017-07-12,2076.5
2017-07-11,2044.5
2017-07-10,2041
2017-07-07,2044
2017-07-06,2051
2017-07-05,2050.5
2017-07-04,2073
2017-06-29,2061.5
2017-06-28,2074
2017-06-27,2088.5
2017-06-26,2065.5
2017-06-23,2066.5
2017-06-22,2065.5
2017-06-21,2064.5
2017-06-20,2090.5
2017-06-19,2130.5
2017-06-16,2115
2017-06-15,2082.5
2017-06-14,2101.5
2017-06-13,2129.5
2017-06-12,2132
2017-06-09,2106.5
2017-06-08,2058.5
2017-06-07,2069.5
2017-06-06,2096.5
2017-06-05,2089.5
2017-06-02,2087
2017-06-01,2111.5
2017-05-31,2100
2017-05-30,2115
2017-05-26,2118
2017-05-25,2111.5
2017-05-24,2118
2017-05-23,2112
2017-05-22,2109.5
2017-05-19,2118
2017-05-18,2108.5
2017-05-17,2185
2017-05-16,2168
2017-05-15,2154.5
2017-05-12,2145
2017-05-11,2132.5
2017-05-10,2112.5
2017-05-09,2091
2017-05-08,2082
2017-05-05,2067.5
2017-05-04,2025
2017-05-03,2018
2017-05-02,2012
2017-04-28,2002.5
2017-04-27,2010.5
2017-04-26,2045
2017-04-25,2044.5
2017-04-24,2033
2017-04-21,1992.5
2017-04-20,2001
2017-04-19,2004.5
2017-04-18,2049.5
2017-04-13,2106.5
2017-04-12,2131
2017-04-11,2142
2017-04-10,2143.5
2017-04-07,2145.5
2017-04-06,2115.5
2017-04-05,2113.5
2017-04-04,2099.5
2017-04-03,2076
2017-03-31,2096
2017-03-30,2123
2017-03-29,2130
2017-03-28,2111
2017-03-27,2078
2017-03-24,2083
2017-03-23,2097.5
2017-03-22,2104.5
2017-03-21,2112.5
2017-03-20,2116
2017-03-17,2123
2017-03-16,2117.5
2017-03-15,2097
2017-03-14,2092
2017-03-13,2120.5
2017-03-10,2113.5
2017-03-09,2089.5
2017-03-08,2126
2017-03-07,2145.5
2017-03-06,2138.5
2017-03-03,2137.5
2017-03-02,2130.5
2017-03-01,2123.5
2017-02-28,2079.5
2017-02-27,2074.5
2017-02-24,2073
2017-02-23,2088.5
2017-02-22,2084
2017-02-21,2094
2017-02-20,2080
2017-02-17,2095
2017-02-16,2123
2017-02-15,2170.5
2017-02-14,2172.5
2017-02-13,2173.5
2017-02-10,2166.5
2017-02-09,2142.5
2017-02-08,2121.5
2017-02-07,2154
2017-02-06,2175
2017-02-03,2193
2017-02-02,2165.5
2017-02-01,2137
2017-01-31,2147.5
2017-01-30,2154
2017-01-27,2191
2017-01-26,2189
2017-01-25,2202.5
2017-01-24,2199.5
2017-01-23,2194
2017-01-20,2223
2017-01-19,2208.5
2017-01-18,2242.5
2017-01-17,2241.5
2017-01-16,2281
2017-01-13,2281.5
2017-01-12,2282.5
2017-01-11,2274
2017-01-10,2249
2017-01-09,2255
2017-01-06,2267.5
2017-01-05,2263.5
2017-01-04,2275
2017-01-03,2256
2016-12-30,2242.5
2016-12-29,2246.5
2016-12-28,2233.5
2016-12-23,2213.5
2016-12-22,2213.5
2016-12-21,2197.5
2016-12-20,2206.5
2016-12-19,2200
2016-12-16,2175
2016-12-15,2155
2016-12-14,2136
2016-12-13,2133
2016-12-12,2118.5
2016-12-09,2087.5
2016-12-08,2091
2016-12-07,2095.5
2016-12-06,2052
2016-12-05,2054
2016-12-02,2048
2016-12-01,2073
2016-11-30,2026
2016-11-29,1949
2016-11-28,1989.5
2016-11-25,2011
2016-11-24,2021
2016-11-22,2026
2016-11-21,2013.5
2016-11-18,1985
2016-11-17,1993
2016-11-16,1975.5
2016-11-15,1989.5
2016-11-14,1928
2016-11-11,1949
2016-11-10,2038
2016-11-09,2073
2016-11-08,2084
2016-11-07,2055.5
2016-11-04,2016.5
2016-11-03,2038.5
2016-11-02,2054.5
2016-11-01,2115
2016-10-31,2038.5
2016-10-28,2071
2016-10-27,2081.5
2016-10-26,2048.5
2016-10-25,2083.5
2016-10-24,2068
2016-10-21,2076
2016-10-20,2077
2016-10-19,2075
2016-10-18,2054
2016-10-17,2050
2016-10-14,2084.5
2016-10-13,2073
2016-10-12,2084
2016-10-11,2102.5
2016-10-10,2116
2016-10-07,2068.5
2016-10-06,2024.5
2016-10-05,2026.5
2016-10-04,2004
2016-10-03,1952.5
2016-09-30,1914
2016-09-29,1924.5
2016-09-28,1805.5
2016-09-27,1800.5
2016-09-26,1839
2016-09-23,1865
2016-09-22,1854
2016-09-21,1830
2016-09-20,1826.5
2016-09-19,1832.5
2016-09-16,1798.5
2016-09-15,1814.5
2016-09-14,1815.5
2016-09-13,1831.5
2016-09-12,1857
2016-09-09,1880
2016-09-08,1914.5
2016-09-07,1896
2016-09-06,1862
2016-09-05,1890.5
2016-09-02,1870.5
2016-09-01,1820.5
2016-08-31,1860.5
2016-08-30,1901
2016-08-26,1895.5
2016-08-25,1877
2016-08-24,1878.5
2016-08-23,1893
2016-08-22,1901
2016-08-19,1926.5
2016-08-18,1932
2016-08-17,1927.5
2016-08-16,1930
2016-08-15,1932.5
2016-08-12,1919
2016-08-11,1922.5
2016-08-10,1916.5
2016-08-09,1918.5
2016-08-08,1919
2016-08-05,1899
2016-08-04,1894.5
2016-08-03,1836.5
2016-08-02,1849
2016-08-01,1888.5
2016-07-29,1944
2016-07-27,2043.5
2016-07-26,2059
2016-07-25,2038.5
2016-07-22,2092
2016-07-21,2082.5
2016-07-20,2084.5
2016-07-19,2095.5
2016-07-18,2071.5
2016-07-15,2085.5
2016-07-14,2083.5
2016-07-13,2088
2016-07-12,2107.5
2016-07-11,2101
2016-07-08,2102
2016-07-07,2097
2016-07-06,2082
2016-07-05,2103.5
2016-07-04,2051
2016-07-01,2076
2016-06-30,2047.5
2016-06-29,2000
2016-06-28,1921
2016-06-27,1907
2016-06-24,1872
2016-06-23,1852
2016-06-22,1810.5
2016-06-21,1808.5
2016-06-20,1794
2016-06-17,1766
2016-06-16,1727.5
2016-06-15,1715
2016-06-14,1722
2016-06-13,1772
2016-06-10,1780
2016-06-09,1784.5
2016-06-08,1800
2016-06-07,1756
2016-06-06,1701
2016-06-03,1676
2016-06-02,1661
2016-06-01,1666
2016-05-31,1657.5
2016-05-27,1675
2016-05-26,1682.5
2016-05-25,1685
2016-05-24,1655
2016-05-23,1659
2016-05-20,1680
2016-05-19,1648
2016-05-18,1733
2016-05-17,1752
2016-05-16,1745
2016-05-13,1726
2016-05-12,1724
2016-05-11,1734.5
2016-05-10,1719.5
2016-05-09,1703
2016-05-06,1742.5
2016-05-05,1726.5
2016-05-04,1710.5
2016-05-03,1755
2016-04-29,1779.5
2016-04-28,1812.5
2016-04-27,1810
2016-04-26,1766
2016-04-25,1760
2016-04-22,1814
2016-04-21,1832.5
2016-04-20,1813
2016-04-19,1800.5
2016-04-18,1804
2016-04-15,1814
2016-04-14,1817.5
2016-04-13,1801
2016-04-12,1759
2016-04-11,1732
2016-04-08,1733
2016-04-07,1666.5
2016-04-06,1663
2016-04-04,1677.5
2016-04-01,1668
2016-03-31,1684
2016-03-30,1706.5
2016-03-29,1650
2016-03-24,1677
2016-03-23,1696
2016-03-22,1702
2016-03-21,1697.5
2016-03-18,1697.5
2016-03-17,1730
2016-03-16,1703.5
2016-03-14,1666.5
2016-03-11,1669
2016-03-10,1638.5
2016-03-09,1689.5
2016-03-08,1659
2016-03-07,1674
2016-03-04,1677.5
2016-03-03,1665
2016-03-02,1657
2016-03-01,1645.5
2016-02-29,1647.5
2016-02-26,1641.5
2016-02-25,1588
2016-02-24,1545
2016-02-23,1576
2016-02-22,1617
2016-02-19,1563
2016-02-18,1589
2016-02-17,1642
2016-02-16,1567
2016-02-15,1542
2016-02-12,1525.5
2016-02-11,1441.5
2016-02-10,1454.5
2016-02-09,1461
2016-02-08,1522
2016-02-05,1535
2016-02-04,1525.5
2016-02-03,1438
2016-02-02,1433.5
2016-02-01,1494.5
2016-01-29,1518
2016-01-28,1495
2016-01-27,1463
2016-01-26,1422.5
2016-01-25,1398.5
2016-01-22,1387
2016-01-21,1316.5
2016-01-20,1266
