Date,Last Close
2017-11-24,3655
2017-11-23,3664
2017-11-22,3633
2017-11-21,3573
2017-11-20,3547.5
2017-11-17,3546
2017-11-16,3549
2017-11-15,3560.5
2017-11-14,3592
2017-11-13,3699
2017-11-10,3695
2017-11-09,3678
2017-11-08,3773
2017-11-07,3733.5
2017-11-06,3773.5
2017-11-03,3725
2017-11-02,3743.5
2017-11-01,3652.5
2017-10-31,3548.5
2017-10-30,3564
2017-10-27,3554.5
2017-10-26,3565.5
2017-10-25,3496.5
2017-10-24,3590
2017-10-23,3586
2017-10-20,3600
2017-10-19,3600.5
2017-10-18,3599
2017-10-17,3709.5
2017-10-16,3718
2017-10-13,3688.5
2017-10-12,3581
2017-10-11,3569
2017-10-10,3610
2017-10-09,3627
2017-10-06,3710
2017-10-05,3676
2017-10-04,3611.5
2017-10-03,3590
2017-10-02,3552.5
2017-09-29,3473
2017-09-28,3417
2017-09-27,3424.5
2017-09-26,3417
2017-09-25,3436
2017-09-22,3500
2017-09-15,3452.5
2017-09-14,3500
2017-09-13,3624.5
2017-09-12,3690.5
2017-09-11,3678
2017-09-08,3600.5
2017-09-07,3715.5
2017-09-06,3701
2017-09-05,3695.5
2017-09-04,3735.5
2017-09-01,3759.5
2017-08-31,3746.5
2017-08-30,3679
2017-08-29,3661.5
2017-08-25,3661
2017-08-24,3645.5
2017-08-23,3615
2017-08-22,3539.5
2017-08-21,3455.5
2017-08-18,3429.5
2017-08-17,3429.5
2017-08-16,3456
2017-08-15,3375.5
2017-08-14,3413
2017-08-11,3370
2017-08-10,3479.5
2017-08-09,3599
2017-08-08,3625
2017-08-07,3637
2017-08-04,3546
2017-08-03,3486.5
2017-08-02,3403
2017-08-01,3502
2017-07-31,3520
2017-07-28,3504
2017-07-27,3496
2017-07-26,3460
2017-07-25,3475
2017-07-24,3324
2017-07-21,3353
2017-07-20,3385.5
2017-07-19,3446.5
2017-07-18,3448
2017-07-17,3472.5
2017-07-14,3448
2017-07-13,3420
2017-07-12,3453
2017-07-11,3425.5
2017-07-10,3398.5
2017-07-07,3362
2017-07-06,3347.5
2017-07-05,3370.5
2017-07-04,3378.5
2017-06-29,3232.5
2017-06-28,3155.5
2017-06-27,3157
2017-06-26,3057
2017-06-23,3052.5
2017-06-22,3038.5
2017-06-21,3020
2017-06-20,3000
2017-06-19,3088
2017-06-16,3044
2017-06-15,3073
2017-06-14,3142.5
2017-06-13,3217.5
2017-06-12,3246
2017-06-09,3264.5
2017-06-08,3224
2017-06-07,3166.5
2017-06-06,3148.5
2017-06-05,3113
2017-06-02,3156
2017-06-01,3143
2017-05-31,3102.5
2017-05-30,3183
2017-05-26,3190
2017-05-25,3165.5
2017-05-24,3175.5
2017-05-23,3192.5
2017-05-22,3211
2017-05-19,3167.5
2017-05-18,3101.5
2017-05-17,3095.5
2017-05-16,3100.5
2017-05-15,3019.5
2017-05-12,2970
2017-05-11,2990
2017-05-10,2978
2017-05-09,2968.5
2017-05-08,2935
2017-05-05,2979
2017-05-04,2910
2017-05-03,2962.5
2017-05-02,3046
2017-04-28,3062
2017-04-27,3030
2017-04-26,3112
2017-04-25,3099.5
2017-04-24,3112.5
2017-04-21,3058.5
2017-04-20,3068
2017-04-19,3030.5
2017-04-18,3003
2017-04-13,3121
2017-04-12,3145
2017-04-11,3275.5
2017-04-10,3262
2017-04-07,3255
2017-04-06,3257.5
2017-04-05,3268
2017-04-04,3264.5
2017-04-03,3186.5
2017-03-31,3209.5
2017-03-30,3290
2017-03-29,3258.5
2017-03-28,3220
2017-03-27,3132
2017-03-24,3257.5
2017-03-23,3266.5
2017-03-22,3309.5
2017-03-21,3327
2017-03-20,3470
2017-03-17,3453.5
2017-03-16,3454.5
2017-03-15,3346.5
2017-03-14,3315
2017-03-13,3304.5
2017-03-10,3178.5
2017-03-09,3202.5
2017-03-08,3261
2017-03-07,3289.5
2017-03-06,3270.5
2017-03-03,3340
2017-03-02,3354.5
2017-03-01,3406
2017-02-28,3297
2017-02-27,3340.5
2017-02-24,3315.5
2017-02-23,3418
2017-02-22,3608
2017-02-21,3645.5
2017-02-20,3646
2017-02-17,3599.5
2017-02-16,3647
2017-02-15,3654.5
2017-02-14,3640
2017-02-13,3679.5
2017-02-10,3572.5
2017-02-09,3382
2017-02-08,3377.5
2017-02-07,3435
2017-02-06,3385
2017-02-03,3390.5
2017-02-02,3515
2017-02-01,3519.5
2017-01-31,3491
2017-01-30,3501
2017-01-27,3567.5
2017-01-26,3533.5
2017-01-25,3575
2017-01-24,3615
2017-01-23,3474.5
2017-01-20,3450
2017-01-19,3458.5
2017-01-18,3499
2017-01-17,3410.5
2017-01-16,3488
2017-01-13,3417.5
2017-01-12,3404.5
2017-01-11,3346
2017-01-10,3293.5
2017-01-09,3133
2017-01-06,3095
2017-01-05,3110.5
2017-01-04,3110
2017-01-03,3136.5
2016-12-30,3158.5
2016-12-29,3150
2016-12-28,3166.5
2016-12-23,3064
2016-12-22,3081
2016-12-21,3111.5
2016-12-20,3093.5
2016-12-19,3050
2016-12-16,3091.5
2016-12-15,3088.5
2016-12-14,3167.5
2016-12-13,3171
2016-12-12,3245
2016-12-09,3223.5
2016-12-08,3295.5
2016-12-07,3221.5
2016-12-06,3021.5
2016-12-05,3054
2016-12-02,3005.5
2016-12-01,3028
2016-11-30,2990
2016-11-29,3067
2016-11-28,3140
2016-11-25,3113
2016-11-24,3103
2016-11-22,3073
2016-11-21,2969.5
2016-11-18,2934
2016-11-17,3021
2016-11-16,2963.5
2016-11-15,3004
2016-11-14,3145.5
2016-11-11,3069
2016-11-10,3147.5
2016-11-09,3068.5
2016-11-08,2872
2016-11-07,2825
2016-11-04,2727.5
2016-11-03,2788.5
2016-11-02,2830
2016-11-01,2844
2016-10-31,2839.5
2016-10-28,2831.5
2016-10-27,2796.5
2016-10-26,2791
2016-10-25,2796
2016-10-24,2675.5
2016-10-21,2668.5
2016-10-20,2618.5
2016-10-19,2623.5
2016-10-18,2615.5
2016-10-17,2588.5
2016-10-14,2596
2016-10-13,2576
2016-10-12,2707.5
2016-10-11,2679.5
2016-10-10,2732.5
2016-10-07,2676.5
2016-10-06,2619.5
2016-10-05,2640.5
2016-10-04,2619
2016-10-03,2606.5
2016-09-30,2574.5
2016-09-29,2634
2016-09-28,2525.5
2016-09-27,2460
2016-09-26,2483.5
2016-09-23,2519
2016-09-22,2490
2016-09-21,2411
2016-09-20,2360
2016-09-19,2359
2016-09-16,2279.5
2016-09-15,2297
2016-09-14,2277
2016-09-13,2257
2016-09-12,2294.5
2016-09-09,2350
2016-09-08,2369.5
2016-09-07,2334
2016-09-06,2323
2016-09-05,2327
2016-09-02,2327
2016-09-01,2299
2016-08-31,2301
2016-08-30,2350.5
2016-08-26,2467.5
2016-08-25,2389
2016-08-24,2390
2016-08-23,2450
2016-08-22,2386.5
2016-08-19,2446
