Date,Last Close
2017-11-24,3711
2017-11-23,3735
2017-11-22,3752
2017-11-21,3632
2017-11-20,3579
2017-11-17,3678.5
2017-11-16,3744
2017-11-15,3530.5
2017-11-14,3559
2017-11-13,3499
2017-11-10,3534.5
2017-11-09,3547
2017-11-08,3613
2017-11-07,3695
2017-11-06,3742
2017-11-03,3723
2017-11-02,3735
2017-11-01,3662
2017-10-31,3721
2017-10-30,3694.5
2017-10-27,3599.5
2017-10-26,3523
2017-10-25,3597
2017-10-24,3659
2017-10-23,3672.5
2017-10-20,3677.5
2017-10-19,3748.5
2017-10-18,3719.5
2017-10-17,3839
2017-10-16,3920.5
2017-10-13,3848
2017-10-12,3845
2017-10-11,3836.5
2017-10-10,3820.5
2017-10-09,3832.5
2017-10-06,3862
2017-10-05,3895.5
2017-10-04,3878
2017-10-03,3852
2017-10-02,3909
2017-09-29,3788
2017-09-28,3778
2017-09-27,3752
2017-09-26,3741.5
2017-09-25,3832
2017-09-22,3824.5
2017-09-15,3919
2017-09-14,3955
2017-09-13,4046.5
2017-09-12,4074.5
2017-09-11,4080
2017-09-08,4037.5
2017-09-07,4011
2017-09-06,3956
2017-09-05,3921
2017-09-04,3899
2017-09-01,3925.5
2017-08-31,3833.5
2017-08-30,3746.5
2017-08-29,3731
2017-08-25,3750
2017-08-24,3695
2017-08-23,3741
2017-08-22,3725
2017-08-21,3613
2017-08-18,3764.5
2017-08-17,3871
2017-08-16,3854
2017-08-15,3843.5
2017-08-14,3793
2017-08-11,3807.5
2017-08-10,3876.5
2017-08-09,3945
2017-08-08,4037
2017-08-07,4016
2017-08-04,4018.5
2017-08-03,4118
2017-08-02,4200
2017-08-01,4256.5
2017-07-31,4261
2017-07-28,4262.5
2017-07-27,4351
2017-07-26,4309
2017-07-25,4239.5
2017-07-24,4164.5
2017-07-21,4156.5
2017-07-20,4080.5
2017-07-19,4163
2017-07-18,4170.5
2017-07-17,4164.5
2017-07-14,4169.5
2017-07-13,4175
2017-07-12,4270
2017-07-11,4159
2017-07-10,4186.5
2017-07-07,4324.5
2017-07-06,4257
2017-07-05,4333.5
2017-07-04,4242
2017-06-29,4258
2017-06-28,4406
2017-06-27,4520
2017-06-26,4511
2017-06-23,4518.5
2017-06-22,4626
2017-06-21,4460
2017-06-20,4370.5
2017-06-19,4336.5
2017-06-16,4277.5
2017-06-15,4247.5
2017-06-14,4280.5
2017-06-13,4285
2017-06-12,4330.5
2017-06-09,4345.5
2017-06-08,4359.5
2017-06-07,4376.5
2017-06-06,4522
2017-06-05,4538.5
2017-06-02,4554
2017-06-01,4492
2017-05-31,4471.5
2017-05-30,4503
2017-05-26,4651.5
2017-05-25,4738
2017-05-24,4778.5
2017-05-23,4710
2017-05-22,4823.5
2017-05-19,4852
2017-05-18,4814.5
2017-05-17,4731.5
2017-05-16,4762
2017-05-15,4689.5
2017-05-12,4750.5
2017-05-11,4682.5
2017-05-10,4666
2017-05-09,4663.5
2017-05-08,4585
2017-05-05,4653.5
2017-05-04,4660.5
2017-05-03,4703
2017-05-02,4651
2017-04-28,4537
2017-04-27,4602.5
2017-04-26,4601
2017-04-25,4626.5
2017-04-24,4564
2017-04-21,4497.5
2017-04-20,4448.5
2017-04-19,4451.5
2017-04-18,4418
2017-04-13,4585
2017-04-12,4535
2017-04-11,4519
2017-04-10,4524
2017-04-07,4562.5
2017-04-06,4603.5
2017-04-05,4693
2017-04-04,4752
2017-04-03,4638
2017-03-31,4661
2017-03-30,4733.5
2017-03-29,4783
2017-03-28,4734.5
2017-03-27,4721.5
2017-03-24,4676.5
2017-03-23,4665
2017-03-22,4638
2017-03-21,4680.5
2017-03-20,4759
2017-03-17,4810
2017-03-16,4857.5
2017-03-15,4850
2017-03-14,4883.5
2017-03-13,4937
2017-03-10,4890.5
2017-03-09,4852
2017-03-08,4873.5
2017-03-07,4903
2017-03-06,5016
2017-03-03,5036
2017-03-02,5002
2017-03-01,4950
2017-02-28,4854
2017-02-27,4873
2017-02-24,4844
2017-02-23,4928
2017-02-22,4855
2017-02-21,4810.5
2017-02-20,4801
2017-02-17,4836
2017-02-16,4763
2017-02-15,4589
2017-02-14,4558
2017-02-13,4558.5
2017-02-10,4595
2017-02-09,4572
2017-02-08,4534.5
2017-02-07,4561
2017-02-06,4448.5
2017-02-03,4461.5
2017-02-02,4452.5
2017-02-01,4466.5
2017-01-31,4379.5
2017-01-30,4363.5
2017-01-27,4389
2017-01-26,4438
2017-01-25,4405
2017-01-24,4366
2017-01-23,4320
2017-01-20,4393
2017-01-19,4483.5
2017-01-18,4503.5
2017-01-17,4515
2017-01-16,4619
2017-01-13,4661.5
2017-01-12,4555
2017-01-11,4681.5
2017-01-10,4834.5
2017-01-09,4887.5
2017-01-06,4856.5
2017-01-05,4899
2017-01-04,4831
2017-01-03,4760
2016-12-30,4684
2016-12-29,4633.5
2016-12-28,4628
2016-12-23,4548
2016-12-22,4562.5
2016-12-21,4558
2016-12-20,4570
2016-12-19,4602
2016-12-16,4597
2016-12-15,4503
2016-12-14,4435
2016-12-13,4433
2016-12-12,4315
2016-12-09,4432.5
2016-12-08,4335
2016-12-07,4357
2016-12-06,4561
2016-12-05,4620
2016-12-02,4589.5
2016-12-01,4554.5
2016-11-30,4660
2016-11-29,4721
2016-11-28,4720
2016-11-25,4689
2016-11-24,4650.5
2016-11-22,4601.5
2016-11-18,4799
2016-11-17,4826.5
2016-11-16,4845
2016-11-15,4852.5
2016-11-14,4942
2016-11-11,4997.5
2016-11-10,5083
2016-11-09,4897
2016-11-08,4522
2016-11-07,4560
2016-11-04,4428
2016-11-03,4539
2016-11-02,4431.5
2016-11-01,4527.5
2016-10-31,4650
2016-10-28,4781.5
2016-10-27,4950
2016-10-26,4901
2016-10-25,4892.5
2016-10-24,4945.5
2016-10-21,5053
2016-10-20,5125
2016-10-19,5143
2016-10-18,5146
2016-10-17,5079
2016-10-14,5147
2016-10-13,5176
2016-10-12,5109
2016-10-11,5220
2016-10-10,5323
2016-10-07,5196
2016-10-06,5114
2016-10-05,5066
2016-10-04,5128
2016-10-03,5063
2016-09-30,4998
2016-09-29,5061
2016-09-28,5108
2016-09-27,5143
2016-09-26,5120
2016-09-23,5208
2016-09-22,5189
2016-09-21,5245
2016-09-20,5315
2016-09-19,5183
2016-09-16,5095
2016-09-15,4936
2016-09-14,4875
2016-09-13,4806
2016-09-12,4750
2016-09-09,4703
2016-09-08,4807
2016-09-07,4824
2016-09-06,4795
2016-09-05,4768
2016-09-02,4799
2016-09-01,4709
2016-08-31,4761
2016-08-30,4844
2016-08-26,4850
2016-08-25,4902
2016-08-24,5025
2016-08-23,5040
2016-08-22,5095
2016-08-19,5070
2016-08-18,5030
2016-08-17,5030
2016-08-16,5065
2016-08-15,5155
2016-08-12,5120
2016-08-11,5105
2016-08-10,5075
2016-08-09,5105
2016-08-08,5030
2016-08-05,5145
2016-08-04,5075
2016-08-03,5015
2016-08-02,5045
2016-08-01,4925
2016-07-29,4871
2016-07-27,4906
2016-07-26,4907
2016-07-25,4870
2016-07-22,4914
2016-07-21,4895
2016-07-20,4937
2016-07-19,4873
2016-07-18,4844
2016-07-15,4825
2016-07-14,4837
2016-07-13,4885
2016-07-12,4855
2016-07-11,4818
2016-07-08,4841
2016-07-07,4874
2016-07-06,4809
2016-07-05,4762
2016-07-04,4717
2016-07-01,4672
2016-06-30,4641
2016-06-29,4472
2016-06-28,4244
2016-06-27,4150
2016-06-24,4106
2016-06-23,4048
2016-06-22,4031
2016-06-21,3976
2016-06-20,4010
2016-06-17,3956
2016-06-16,3999
2016-06-15,4033
2016-06-14,4009
2016-06-13,4088
2016-06-10,4152
2016-06-09,4295
2016-06-08,4368
2016-06-07,4408
2016-06-06,4407
2016-06-03,4407
2016-06-02,4449
2016-06-01,4380
2016-05-31,4260
2016-05-27,4289
2016-05-26,4349
2016-05-25,4329
2016-05-24,4281
2016-05-23,4315
2016-05-20,4281
2016-05-19,4112
2016-05-18,4098
2016-05-17,4100
2016-05-16,4070
2016-05-13,4134
2016-05-12,4065
2016-05-11,4190
2016-05-10,4102
2016-05-09,4069
2016-05-06,4009
2016-05-05,4052
2016-05-04,4106
2016-05-03,4220
2016-04-29,4261
2016-04-28,4187
2016-04-27,4173
2016-04-26,4191
2016-04-25,4248
2016-04-22,4277
2016-04-21,4308
2016-04-20,4189
2016-04-19,4275
2016-04-18,4295
2016-04-15,4247
2016-04-14,4275
2016-04-13,4258
2016-04-12,4243
2016-04-11,4244
2016-04-08,4250
2016-04-07,4293
2016-04-06,4258
2016-04-05,4049
2016-04-04,4200
2016-04-01,4082
2016-03-31,3959
2016-03-30,3917
2016-03-29,3877
2016-03-24,3885
2016-03-23,3925
2016-03-22,3942
2016-03-21,3842
2016-03-18,3691
2016-03-17,3568
2016-03-16,3655
2016-03-14,3830
2016-03-11,3778
2016-03-10,3785
2016-03-09,3745
2016-03-08,3794
2016-03-07,3766
2016-03-04,3782
2016-03-03,3755
2016-03-02,3872
2016-03-01,3778
2016-02-29,3788
2016-02-26,3897
2016-02-25,3864
2016-02-24,3789
2016-02-23,3810
2016-02-22,3880
2016-02-19,3819
2016-02-18,3853
2016-02-17,3942
2016-02-16,3740
2016-02-15,3797
2016-02-12,3639
2016-02-11,3507
2016-02-10,3568
2016-02-09,3480
2016-02-08,3498
2016-02-05,3671
2016-02-04,3733
2016-02-03,3717
2016-02-02,3885
2016-02-01,3922
2016-01-29,3910
2016-01-28,3879
2016-01-27,4050
2016-01-26,4123
2016-01-25,4247
2016-01-22,4228
